order,name,aliases,families
87,Michael White,,"Sistêmica, Familiar e de Casais | Construtivista e Narrativa | Modelos Pragmáticos e Focados em Objetivo"
88,David Epston,,"Sistêmica, Familiar e de Casais | Construtivista e Narrativa"
89,Monica McGoldrick,,"Sistêmica, Familiar e de Casais | Social, Cultural e de Gênero"
90,Sue Johnson,,"Sistêmica, Familiar e de Casais"
91,John Gottman,,"Sistêmica, Familiar e de Casais"
92,Julie Gottman,,"Sistêmica, Familiar e de Casais"
93,Peter Fraenkel,,"Sistêmica, Familiar e de Casais"
94,Jay L. Lebow,Jay Lebow,"Sistêmica, Familiar e de Casais | Integrativa e Eclética"
95,George Kelly,,Construtivista e Narrativa
96,Michael Mahoney,,Construtivista e Narrativa
97,Robert Neimeyer,,Construtivista e Narrativa
98,Harlene Anderson,,Construtivista e Narrativa
99,Harry Goolishian,,Construtivista e Narrativa
100,Kenneth Gergen,,Construtivista e Narrativa
101,Hubert Hermans,,Construtivista e Narrativa
102,Vittorio Guidano,,Construtivista e Narrativa
103,Giovanni Liotti,,Construtivista e Narrativa
104,Jonathan D. Raskin,Robert Raskin,Construtivista e Narrativa
105,Gerald Klerman,,Interpessoal e Relacional Contemporânea
106,Myrna Weissman,,Interpessoal e Relacional Contemporânea
107,Jean Baker Miller,,"Interpessoal e Relacional Contemporânea | Social, Cultural e de Gênero"
108,Judith V. Jordan,,Interpessoal e Relacional Contemporânea
109,Janet Surrey,,Interpessoal e Relacional Contemporânea
110,Anthony Bateman,,Interpessoal e Relacional Contemporânea
111,Peter Fonagy,,Interpessoal e Relacional Contemporânea
112,Efrain Bleiberg,,Interpessoal e Relacional Contemporânea
113,Jeremy Holmes,,Interpessoal e Relacional Contemporânea
114,Susan McConnell,,Integrativa e Eclética
115,John C. Norcross,,Integrativa e Eclética
116,Marvin R. Goldfried,,Integrativa e Eclética
117,Paul Wachtel,,Integrativa e Eclética
118,Arnold Lazarus,,Integrativa e Eclética | Modelos Pragmáticos e Focados em Objetivo
119,Larry E. Beutler,,Integrativa e Eclética
120,Clara E. Hill,,Integrativa e Eclética
121,Klaus Grawe,,Integrativa e Eclética
122,Jeremy Safran,,Integrativa e Eclética
123,George Stricker,,Integrativa e Eclética
124,William M. Pinsof,,Integrativa e Eclética
125,Derald Wing Sue,,"Social, Cultural e de Gênero"
126,Stanley Sue,,"Social, Cultural e de Gênero"
127,Pamela Hays,,"Social, Cultural e de Gênero"
128,Sandra Bem,,"Social, Cultural e de Gênero"
129,bell hooks,,"Social, Cultural e de Gênero"
130,Laura S. Brown,,"Social, Cultural e de Gênero"
131,Judith Worell,,"Social, Cultural e de Gênero"
132,Carol Gilligan,,"Social, Cultural e de Gênero"
133,Kenneth Pargament,,"Social, Cultural e de Gênero"
134,Celia Falicov,,"Social, Cultural e de Gênero"
135,William Glasser,,Modelos Pragmáticos e Focados em Objetivo
136,William R. Miller,,Modelos Pragmáticos e Focados em Objetivo
137,Stephen Rollnick,,Modelos Pragmáticos e Focados em Objetivo
138,Milton Erickson,,Modelos Pragmáticos e Focados em Objetivo
139,Gerald Corey,,Modelos Pragmáticos e Focados em Objetivo
