order,name,aliases,families,filename,status
24,Christopher Bollas,,Psicanalítica e Psicodinâmica,cecistudy_ficha_christopher_bollas.md,OK
25,Carl Rogers,,Existencial-Humanista,cecistudy_ficha_carl_rogers.md,OK
26,Abraham Maslow,,Existencial-Humanista,cecistudy_ficha_abraham_maslow.md,OK
27,Rollo May,,Existencial-Humanista,cecistudy_ficha_rollo_may.md,OK
28,Viktor Frankl,,Existencial-Humanista,cecistudy_ficha_viktor_frankl.md,OK
29,Fritz Perls,,Existencial-Humanista,cecistudy_ficha_fritz_perls.md,OK
30,Laura Perls,,Existencial-Humanista,cecistudy_ficha_laura_perls.md,OK
31,Paul Goodman,,Existencial-Humanista,cecistudy_ficha_paul_goodman.md,OK
32,Eugene Gendlin,,Existencial-Humanista,cecistudy_ficha_eugene_gendlin.md,OK
33,Leslie S. Greenberg,Leslie Greenberg,Existencial-Humanista | Integrativa e Eclética,cecistudy_ficha_leslie_s_greenberg.md,OK
34,Robert Elliott,,Existencial-Humanista,cecistudy_ficha_robert_elliott.md,OK
35,James F. T. Bugental,James Bugental,Existencial-Humanista,cecistudy_ficha_james_f_t_bugental.md,OK
36,Irvin Yalom,,Existencial-Humanista,cecistudy_ficha_irvin_yalom.md,OK
37,Kirk Schneider,,Existencial-Humanista,cecistudy_ficha_kirk_schneider.md,OK
38,Clark Moustakas,,Existencial-Humanista,cecistudy_ficha_clark_moustakas.md,OK
39,Ivan Pavlov,,Comportamental,cecistudy_ficha_ivan_pavlov.md,OK
40,John B. Watson,,Comportamental,cecistudy_ficha_john_b_watson.md,OK
41,Edward Thorndike,,Comportamental,cecistudy_ficha_edward_thorndike.md,OK
42,B. F. Skinner,,Comportamental,cecistudy_ficha_b_f_skinner.md,OK
43,Clark Hull,,Comportamental,cecistudy_ficha_clark_hull.md,OK
44,Edward C. Tolman,,Comportamental,cecistudy_ficha_edward_c_tolman.md,OK
45,Joseph Wolpe,,Comportamental,cecistudy_ficha_joseph_wolpe.md,OK
46,Albert Bandura,,Comportamental,cecistudy_ficha_albert_bandura.md,OK
47,Neal Miller,,Comportamental,cecistudy_ficha_neal_miller.md,OK
48,Hans Eysenck,,Comportamental,cecistudy_ficha_hans_eysenck.md,OK
49,Ogden Lindsley,,Comportamental,cecistudy_ficha_ogden_lindsley.md,OK
50,Donald Baer,,Comportamental,cecistudy_ficha_donald_baer.md,OK
51,Montrose Wolf,,Comportamental,cecistudy_ficha_montrose_wolf.md,OK
52,Sidney Bijou,,Comportamental,cecistudy_ficha_sidney_bijou.md,OK
53,Aaron T. Beck,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_aaron_t_beck.md,OK
54,Albert Ellis,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_albert_ellis.md,OK
55,Judith S. Beck,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_judith_s_beck.md,OK
56,Donald Meichenbaum,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_donald_meichenbaum.md,OK
57,David D. Burns,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_david_d_burns.md,OK
58,Jeffrey Young,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_jeffrey_young.md,OK
59,Marsha M. Linehan,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_marsha_m_linehan.md,OK
60,Steven C. Hayes,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_steven_c_hayes.md,OK
61,Kelly G. Wilson,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_kelly_g_wilson.md,OK
62,Zindel Segal,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_zindel_segal.md,OK
63,Mark Williams,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_mark_williams.md,OK
64,John Teasdale,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_john_teasdale.md,OK
65,Adrian Wells,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_adrian_wells.md,OK
66,Steven Reiss,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_steven_reiss.md,OK
67,Arthur Freeman,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_arthur_freeman.md,OK
68,Christine Padesky,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_christine_padesky.md,OK
69,Dennis Greenberger,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_dennis_greenberger.md,OK
70,Robert L. Leahy,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_robert_l_leahy.md,OK
71,Stefan G. Hofmann,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_stefan_g_hofmann.md,OK
72,David H. Barlow,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_david_h_barlow.md,OK
73,Edna Foa,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_edna_foa.md,OK
74,David M. Clark,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_david_m_clark.md,OK
75,Michelle Craske,,Cognitiva e Cognitivo-Comportamental,cecistudy_ficha_michelle_craske.md,OK
76,Salvador Minuchin,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_salvador_minuchin.md,OK
77,Murray Bowen,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_murray_bowen.md,OK
78,Jay Haley,,"Sistêmica, Familiar e de Casais | Modelos Pragmáticos e Focados em Objetivo",cecistudy_ficha_jay_haley.md,OK
79,Cloe Madanes,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_cloe_madanes.md,OK
80,Virginia Satir,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_virginia_satir.md,OK
81,Carl Whitaker,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_carl_whitaker.md,OK
82,Mara Selvini Palazzoli,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_mara_selvini_palazzoli.md,OK
83,Luigi Boscolo,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_luigi_boscolo.md,OK
84,Gianfranco Cecchin,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_gianfranco_cecchin.md,OK
85,Steve de Shazer,,"Sistêmica, Familiar e de Casais | Modelos Pragmáticos e Focados em Objetivo",cecistudy_ficha_steve_de_shazer.md,OK
86,Insoo Kim Berg,,"Sistêmica, Familiar e de Casais | Modelos Pragmáticos e Focados em Objetivo",cecistudy_ficha_insoo_kim_berg.md,OK
87,Michael White,,"Sistêmica, Familiar e de Casais | Construtivista e Narrativa | Modelos Pragmáticos e Focados em Objetivo",cecistudy_ficha_michael_white.md,OK
88,David Epston,,"Sistêmica, Familiar e de Casais | Construtivista e Narrativa",cecistudy_ficha_david_epston.md,OK
89,Monica McGoldrick,,"Sistêmica, Familiar e de Casais | Social, Cultural e de Gênero",cecistudy_ficha_monica_mcgoldrick.md,OK
90,Sue Johnson,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_sue_johnson.md,OK
91,John Gottman,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_john_gottman.md,OK
92,Julie Gottman,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_julie_gottman.md,OK
93,Peter Fraenkel,,"Sistêmica, Familiar e de Casais",cecistudy_ficha_peter_fraenkel.md,OK
94,Jay L. Lebow,Jay Lebow,"Sistêmica, Familiar e de Casais | Integrativa e Eclética",cecistudy_ficha_jay_l_lebow.md,OK
95,George Kelly,,Construtivista e Narrativa,cecistudy_ficha_george_kelly.md,OK
96,Michael Mahoney,,Construtivista e Narrativa,cecistudy_ficha_michael_mahoney.md,OK
97,Robert Neimeyer,,Construtivista e Narrativa,cecistudy_ficha_robert_neimeyer.md,OK
98,Harlene Anderson,,Construtivista e Narrativa,cecistudy_ficha_harlene_anderson.md,OK
99,Harry Goolishian,,Construtivista e Narrativa,cecistudy_ficha_harry_goolishian.md,OK
100,Kenneth Gergen,,Construtivista e Narrativa,cecistudy_ficha_kenneth_gergen.md,OK
101,Hubert Hermans,,Construtivista e Narrativa,cecistudy_ficha_hubert_hermans.md,OK
102,Vittorio Guidano,,Construtivista e Narrativa,cecistudy_ficha_vittorio_guidano.md,OK
103,Giovanni Liotti,,Construtivista e Narrativa,cecistudy_ficha_giovanni_liotti.md,OK
104,Jonathan D. Raskin,Robert Raskin,Construtivista e Narrativa,cecistudy_ficha_jonathan_d_raskin.md,OK
105,Gerald Klerman,,Interpessoal e Relacional Contemporânea,cecistudy_ficha_gerald_klerman.md,OK
106,Myrna Weissman,,Interpessoal e Relacional Contemporânea,cecistudy_ficha_myrna_weissman.md,OK
107,Jean Baker Miller,,"Interpessoal e Relacional Contemporânea | Social, Cultural e de Gênero",cecistudy_ficha_jean_baker_miller.md,OK
108,Judith V. Jordan,,Interpessoal e Relacional Contemporânea,cecistudy_ficha_judith_v_jordan.md,OK
109,Janet Surrey,,Interpessoal e Relacional Contemporânea,cecistudy_ficha_janet_surrey.md,OK
110,Anthony Bateman,,Interpessoal e Relacional Contemporânea,cecistudy_ficha_anthony_bateman.md,OK
111,Peter Fonagy,,Interpessoal e Relacional Contemporânea,cecistudy_ficha_peter_fonagy.md,OK
112,Efrain Bleiberg,,Interpessoal e Relacional Contemporânea,cecistudy_ficha_efrain_bleiberg.md,OK
113,Jeremy Holmes,,Interpessoal e Relacional Contemporânea,cecistudy_ficha_jeremy_holmes.md,OK
114,Susan McConnell,,Integrativa e Eclética,cecistudy_ficha_susan_mcconnell.md,OK
115,John C. Norcross,,Integrativa e Eclética,cecistudy_ficha_john_c_norcross.md,OK
116,Marvin R. Goldfried,,Integrativa e Eclética,cecistudy_ficha_marvin_r_goldfried.md,OK
117,Paul Wachtel,,Integrativa e Eclética,cecistudy_ficha_paul_wachtel.md,OK
118,Arnold Lazarus,,Integrativa e Eclética | Modelos Pragmáticos e Focados em Objetivo,cecistudy_ficha_arnold_lazarus.md,OK
119,Larry E. Beutler,,Integrativa e Eclética,cecistudy_ficha_larry_e_beutler.md,OK
120,Clara E. Hill,,Integrativa e Eclética,cecistudy_ficha_clara_e_hill.md,OK
121,Klaus Grawe,,Integrativa e Eclética,cecistudy_ficha_klaus_grawe.md,OK
122,Jeremy Safran,,Integrativa e Eclética,cecistudy_ficha_jeremy_safran.md,OK
123,George Stricker,,Integrativa e Eclética,cecistudy_ficha_george_stricker.md,OK
124,William M. Pinsof,,Integrativa e Eclética,cecistudy_ficha_william_m_pinsof.md,OK
125,Derald Wing Sue,,"Social, Cultural e de Gênero",cecistudy_ficha_derald_wing_sue.md,OK
126,Stanley Sue,,"Social, Cultural e de Gênero",cecistudy_ficha_stanley_sue.md,OK
127,Pamela Hays,,"Social, Cultural e de Gênero",cecistudy_ficha_pamela_hays.md,OK
128,Sandra Bem,,"Social, Cultural e de Gênero",cecistudy_ficha_sandra_bem.md,OK
129,bell hooks,,"Social, Cultural e de Gênero",cecistudy_ficha_bell_hooks.md,OK
130,Laura S. Brown,,"Social, Cultural e de Gênero",cecistudy_ficha_laura_s_brown.md,OK
131,Judith Worell,,"Social, Cultural e de Gênero",cecistudy_ficha_judith_worell.md,OK
132,Carol Gilligan,,"Social, Cultural e de Gênero",cecistudy_ficha_carol_gilligan.md,OK
133,Kenneth Pargament,,"Social, Cultural e de Gênero",cecistudy_ficha_kenneth_pargament.md,OK
134,Celia Falicov,,"Social, Cultural e de Gênero",cecistudy_ficha_celia_falicov.md,OK
135,William Glasser,,Modelos Pragmáticos e Focados em Objetivo,cecistudy_ficha_william_glasser.md,OK
136,William R. Miller,,Modelos Pragmáticos e Focados em Objetivo,cecistudy_ficha_william_r_miller.md,OK
137,Stephen Rollnick,,Modelos Pragmáticos e Focados em Objetivo,cecistudy_ficha_stephen_rollnick.md,OK
138,Milton Erickson,,Modelos Pragmáticos e Focados em Objetivo,cecistudy_ficha_milton_erickson.md,OK
139,Gerald Corey,,Modelos Pragmáticos e Focados em Objetivo,cecistudy_ficha_gerald_corey.md,OK
